,GAME_ID,MATCHUP,LOCATION,W,FINAL_MARGIN,SHOT_NUMBER,PERIOD,GAME_CLOCK,SHOT_CLOCK,DRIBBLES,TOUCH_TIME,SHOT_DIST,PTS_TYPE,SHOT_RESULT,CLOSEST_DEFENDER,CLOSEST_DEFENDER_PLAYER_ID,CLOSE_DEF_DIST,FGM,PTS,player_name,player_id
0,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,1.0,1.0,1:09,10.8,2.0,1.9,7.7,2.0,made,"Anderson, Alan",P101187,1.3,1.0,2.0,brian roberts,P203148
1,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,2.0,1.0,0:14,3.4,0.0,0.8,28.2,3.0,missed,"Bogdanovic, Bojan",P202711,6.1,0.0,0.0,brian roberts,P203148
2,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,3.0,1.0,0:00,,3.0,2.7,10.1,2.0,missed,"Bogdanovic, Bojan",P202711,0.9,0.0,0.0,brian roberts,P203148
3,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,4.0,2.0,11:47,10.3,2.0,1.9,17.2,2.0,missed,"Brown, Markel",P203900,3.4,0.0,0.0,brian roberts,P203148
4,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,5.0,2.0,10:34,10.9,2.0,2.7,3.7,2.0,missed,"Young, Thaddeus",P201152,1.1,0.0,0.0,brian roberts,P203148
5,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,6.0,2.0,8:15,9.1,2.0,4.4,18.4,2.0,missed,"Williams, Deron",P101114,2.6,0.0,0.0,brian roberts,P203148
6,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,7.0,4.0,10:15,14.5,11.0,9.0,20.7,2.0,missed,"Jack, Jarrett",P101127,6.1,0.0,0.0,brian roberts,P203148
7,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,8.0,4.0,8:00,3.4,3.0,2.5,3.5,2.0,made,"Plumlee, Mason",P203486,2.1,1.0,2.0,brian roberts,P203148
8,G21400899,"MAR 04, 2015 - CHA @ BKN",A,W,24.0,9.0,4.0,5:14,12.4,0.0,0.8,24.6,3.0,missed,"Morris, Darius",P202721,7.3,0.0,0.0,brian roberts,P203148
9,G21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1.0,1.0,2.0,11:32,17.4,0.0,1.1,22.4,3.0,missed,"Ellington, Wayne",P201961,19.8,0.0,0.0,brian roberts,P203148
10,G21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1.0,2.0,2.0,6:30,16.0,8.0,7.5,24.5,3.0,missed,"Lin, Jeremy",P202391,4.7,0.0,0.0,brian roberts,P203148
11,G21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1.0,3.0,4.0,11:32,12.1,14.0,11.9,14.6,2.0,made,"Lin, Jeremy",P202391,1.8,1.0,2.0,brian roberts,P203148
12,G21400890,"MAR 03, 2015 - CHA vs. LAL",H,W,1.0,4.0,4.0,8:55,4.3,2.0,2.9,5.9,2.0,made,"Hill, Jordan",P201941,5.4,1.0,2.0,brian roberts,P203148
13,G21400882,"MAR 01, 2015 - CHA @ ORL",A,W,15.0,1.0,4.0,9:10,4.4,0.0,0.8,26.4,3.0,missed,"Green, Willie",P2584,4.4,0.0,0.0,brian roberts,P203148
14,G21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8.0,1.0,1.0,0:48,6.8,0.0,0.5,22.8,3.0,missed,"Smart, Marcus",P203935,5.3,0.0,0.0,brian roberts,P203148
15,G21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8.0,2.0,2.0,10:38,6.4,3.0,2.7,24.7,3.0,made,"Young, James",P203923,5.6,1.0,3.0,brian roberts,P203148
16,G21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8.0,3.0,2.0,8:27,17.6,6.0,5.1,25.0,3.0,missed,"Jerebko, Jonas",P201973,5.4,0.0,0.0,brian roberts,P203148
17,G21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8.0,4.0,4.0,10:55,8.7,1.0,0.9,25.6,3.0,missed,"Crowder, Jae",P203109,5.1,0.0,0.0,brian roberts,P203148
18,G21400859,"FEB 27, 2015 - CHA @ BOS",A,L,-8.0,5.0,4.0,10:29,20.8,0.0,1.2,24.2,3.0,made,"Thomas, Isaiah",P202738,11.1,1.0,3.0,brian roberts,P203148
19,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,1.0,1.0,3:35,17.5,2.0,2.2,25.4,3.0,missed,"Brooks, Aaron",P201166,3.5,0.0,0.0,brian roberts,P203148
20,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,2.0,1.0,0:33,19.5,5.0,4.4,19.1,2.0,made,"Hinrich, Kirk",P2550,4.0,1.0,2.0,brian roberts,P203148
21,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,3.0,2.0,8:50,6.0,6.0,7.4,14.8,2.0,made,"Gibson, Taj",P201959,5.4,1.0,2.0,brian roberts,P203148
22,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,4.0,2.0,8:24,15.7,0.0,0.7,25.2,3.0,missed,"Hinrich, Kirk",P2550,3.7,0.0,0.0,brian roberts,P203148
23,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,5.0,2.0,5:32,11.2,16.0,13.4,22.8,3.0,made,"Gibson, Taj",P201959,5.1,1.0,3.0,brian roberts,P203148
24,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,6.0,2.0,0:04,,0.0,0.7,25.2,3.0,missed,"Butler, Jimmy",P202710,3.6,0.0,0.0,brian roberts,P203148
25,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,7.0,4.0,10:13,17.1,7.0,7.2,24.6,3.0,made,"Noah, Joakim",P201149,6.0,1.0,3.0,brian roberts,P203148
26,G21400845,"FEB 25, 2015 - CHA @ CHI",A,W,12.0,8.0,4.0,5:34,15.4,1.0,1.6,10.6,2.0,made,"Brooks, Aaron",P201166,0.7,1.0,2.0,brian roberts,P203148
27,G21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11.0,1.0,1.0,2:25,12.3,0.0,0.8,20.2,2.0,missed,"Harris, Devin",P2734,3.5,0.0,0.0,brian roberts,P203148
28,G21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11.0,2.0,2.0,9:08,18.2,7.0,5.2,24.9,3.0,missed,"Barea, Jose Juan",P200826,4.5,0.0,0.0,brian roberts,P203148
29,G21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11.0,3.0,2.0,8:53,11.9,1.0,2.1,8.3,2.0,missed,"Barea, Jose Juan",P200826,3.5,0.0,0.0,brian roberts,P203148
30,G21400827,"FEB 22, 2015 - CHA @ DAL",A,L,-11.0,4.0,4.0,11:37,11.6,2.0,1.8,10.0,2.0,missed,"Barea, Jose Juan",P200826,2.4,0.0,0.0,brian roberts,P203148
31,G21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7.0,1.0,1.0,1:18,10.3,0.0,0.8,24.1,3.0,missed,"Augustin, D.J.",P201571,10.2,0.0,0.0,brian roberts,P203148
32,G21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7.0,2.0,2.0,9:34,6.0,1.0,0.8,24.2,3.0,missed,"Augustin, D.J.",P201571,3.4,0.0,0.0,brian roberts,P203148
33,G21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7.0,3.0,4.0,11:34,9.9,1.0,2.2,7.6,2.0,made,"Augustin, D.J.",P201571,2.4,1.0,2.0,brian roberts,P203148
34,G21400816,"FEB 21, 2015 - CHA vs. OKC",H,L,-7.0,4.0,4.0,8:08,6.1,2.0,1.8,8.0,2.0,made,"Augustin, D.J.",P201571,1.8,1.0,2.0,brian roberts,P203148
35,G21400783,"FEB 10, 2015 - CHA vs. DET",H,L,-28.0,1.0,1.0,8:46,16.0,10.0,7.5,6.9,2.0,made,"Drummond, Andre",P203083,4.9,1.0,2.0,brian roberts,P203148
